pair_type,euclidean_distance,hyperbolic_distance,distance_ratio,euclidean_level_diff,hyperbolic_level_diff
unrelated,0.879073,1.911967,2.174982,0.293024,0.637322
unrelated,0.801204,1.763700,2.201313,0.200301,0.440925
unrelated,0.974801,2.092686,2.146783,0.243700,0.523172
unrelated,0.930003,2.016483,2.168255,0.232501,0.504121
unrelated,0.770936,1.705214,2.211876,0.256979,0.568405
unrelated,0.730662,1.624412,2.223207,0.182665,0.406103
unrelated,0.714295,1.590355,2.226469,0.178574,0.397589
unrelated,0.769597,1.702374,2.212032,0.192399,0.425594
unrelated,0.739869,1.643199,2.220931,0.369935,0.821599
unrelated,0.753448,1.672996,2.220453,0.251149,0.557665
unrelated,0.791578,1.751771,2.213010,0.197895,0.437943
unrelated,0.802687,1.774279,2.210424,0.200672,0.443570
unrelated,0.743554,1.649640,2.218587,0.185889,0.412410
unrelated,0.699489,1.559171,2.229013,0.233163,0.519724
unrelated,0.732295,1.628618,2.223990,0.183074,0.407154
unrelated,0.768161,1.703973,2.218250,0.192040,0.425993
unrelated,0.787083,1.743461,2.215093,0.196771,0.435865
unrelated,0.805133,1.765264,2.192514,0.268378,0.588421
unrelated,0.883408,1.901383,2.152327,0.220852,0.475346
unrelated,0.762391,1.676158,2.198555,0.190598,0.419039
unrelated,0.808386,1.764564,2.182824,0.202096,0.441141
unrelated,0.725253,1.607196,2.216049,0.362627,0.803598
unrelated,0.856442,1.855048,2.165994,0.285481,0.618349
unrelated,0.924918,1.962594,2.121912,0.231229,0.490649
unrelated,0.795155,1.736427,2.183759,0.198789,0.434107
unrelated,0.868985,1.890678,2.175732,0.217246,0.472670
unrelated,0.805220,1.766011,2.193204,0.268407,0.588670
unrelated,0.846105,1.839651,2.174259,0.211526,0.459913
unrelated,0.789487,1.723938,2.183618,0.197372,0.430984
unrelated,0.768984,1.683958,2.189848,0.192246,0.420990
unrelated,0.703940,1.551584,2.204143,0.234647,0.517195
unrelated,0.752048,1.629282,2.166461,0.188012,0.407320
unrelated,0.749606,1.637223,2.184112,0.187401,0.409306
unrelated,0.663133,1.474310,2.223250,0.165783,0.368577
unrelated,0.516747,1.144401,2.214626,0.516747,1.144401
unrelated,0.578101,1.275991,2.207212,0.289050,0.637995
unrelated,0.538082,1.188353,2.208498,0.179361,0.396118
unrelated,0.558965,1.245344,2.227945,0.139741,0.311336
unrelated,0.551551,1.227829,2.226140,0.137888,0.306957
unrelated,0.471341,1.048245,2.223965,0.117835,0.262061
unrelated,0.672507,1.481150,2.202431,0.224169,0.493717
unrelated,0.755187,1.665520,2.205441,0.188797,0.416380
unrelated,0.703996,1.549209,2.200594,0.175999,0.387302
unrelated,0.692261,1.525642,2.203853,0.173065,0.381411
unrelated,0.682516,1.516222,2.221520,0.227505,0.505407
unrelated,0.723974,1.605716,2.217918,0.180994,0.401429
unrelated,0.568361,1.262703,2.221657,0.142090,0.315676
unrelated,0.732800,1.626802,2.219980,0.183200,0.406700
unrelated,0.452120,0.983660,2.175662,0.226060,0.491830
unrelated,0.527314,1.162454,2.204483,0.175771,0.387485
unrelated,0.455725,0.990457,2.173364,0.113931,0.247614
unrelated,0.572723,1.275423,2.226946,0.143181,0.318856
unrelated,0.509964,1.112695,2.181910,0.127491,0.278174
unrelated,0.472607,1.023468,2.165580,0.157536,0.341156
unrelated,0.413410,0.886155,2.143526,0.103352,0.221539
unrelated,0.502202,1.098924,2.188209,0.125551,0.274731
unrelated,0.501607,1.088971,2.170967,0.125402,0.272243
unrelated,0.643529,1.415801,2.200057,0.214510,0.471934
unrelated,0.721370,1.591678,2.206464,0.180343,0.397919
unrelated,0.608540,1.337675,2.198170,0.152135,0.334419
unrelated,0.754088,1.663517,2.205997,0.188522,0.415879
unrelated,0.499456,1.119932,2.242304,0.249728,0.559966
unrelated,0.520517,1.166143,2.240356,0.173506,0.388714
unrelated,0.554999,1.244894,2.243054,0.138750,0.311223
unrelated,0.593946,1.332123,2.242836,0.148486,0.333031
unrelated,0.489501,1.104415,2.256205,0.122375,0.276104
unrelated,0.385033,0.862585,2.240289,0.128344,0.287528
unrelated,0.372674,0.830954,2.229709,0.093168,0.207739
unrelated,0.371081,0.826491,2.227251,0.092770,0.206623
unrelated,0.435100,0.976957,2.245363,0.108775,0.244239
unrelated,0.554797,1.247542,2.248647,0.184932,0.415847
unrelated,0.539389,1.214006,2.250706,0.134847,0.303501
unrelated,0.563979,1.267510,2.247441,0.140995,0.316878
unrelated,0.507693,1.144162,2.253650,0.126923,0.286041
unrelated,1.010958,2.173040,2.149485,1.010958,2.173040
unrelated,0.954677,2.033690,2.130238,0.477339,1.016845
unrelated,0.982795,2.090384,2.126979,0.327598,0.696795
unrelated,0.889527,1.908551,2.145580,0.222382,0.477138
unrelated,1.007989,2.129014,2.112139,0.251997,0.532253
unrelated,0.967603,2.064457,2.133578,0.241901,0.516114
unrelated,0.909174,1.950776,2.145656,0.303058,0.650259
unrelated,0.987211,2.095850,2.123001,0.246803,0.523962
unrelated,0.932950,2.006131,2.150310,0.233237,0.501533
unrelated,0.875724,1.884952,2.152451,0.218931,0.471238
unrelated,1.047923,2.194133,2.093792,0.349308,0.731378
unrelated,0.906650,1.955646,2.157002,0.226662,0.488911
unrelated,1.146378,2.359176,2.057939,0.286594,0.589794
unrelated,1.101401,2.285276,2.074881,0.275350,0.571319
unrelated,1.024166,2.192838,2.141096,0.512083,1.096419
unrelated,1.144478,2.402947,2.099600,0.381493,0.800982
unrelated,1.193334,2.467965,2.068126,0.298333,0.616991
unrelated,1.152259,2.421273,2.101327,0.288065,0.605318
unrelated,1.181145,2.469070,2.090404,0.295286,0.617267
unrelated,1.021861,2.193900,2.146964,0.340620,0.731300
unrelated,0.980066,2.114669,2.157679,0.245017,0.528667
unrelated,1.015538,2.176560,2.143258,0.253885,0.544140
unrelated,0.980112,2.112839,2.155712,0.245028,0.528210
unrelated,1.033480,2.198051,2.126844,0.344493,0.732684
unrelated,1.041241,2.228437,2.140174,0.260310,0.557109
unrelated,1.073839,2.262387,2.106822,0.268460,0.565597
unrelated,1.066458,2.268360,2.127003,0.266615,0.567090
unrelated,1.216163,2.503201,2.058277,0.608082,1.251600
unrelated,1.131295,2.366740,2.092064,0.377098,0.788913
unrelated,1.133983,2.384500,2.102765,0.283496,0.596125
unrelated,1.260374,2.578431,2.045767,0.315093,0.644608
unrelated,1.140409,2.392207,2.097675,0.285102,0.598052
unrelated,1.179774,2.435522,2.064396,0.393258,0.811841
unrelated,1.183117,2.439936,2.062295,0.295779,0.609984
unrelated,1.213753,2.474726,2.038904,0.303438,0.618682
unrelated,1.245595,2.519886,2.023037,0.311399,0.629971
unrelated,1.126258,2.360503,2.095880,0.375419,0.786834
unrelated,1.144848,2.398292,2.094856,0.286212,0.599573
unrelated,1.241295,2.556906,2.059870,0.310324,0.639227
unrelated,1.154675,2.409051,2.086346,0.288669,0.602263
siblings,0.850272,1.868553,2.197594,0.850272,1.868553
unrelated,1.130140,2.421127,2.142325,1.130140,2.421127
unrelated,1.087201,2.341406,2.153610,0.543600,1.170703
unrelated,1.193324,2.524693,2.115682,0.397775,0.841564
unrelated,1.224063,2.572299,2.101443,0.306016,0.643075
unrelated,1.055735,2.276635,2.156445,0.263934,0.569159
unrelated,1.192959,2.530126,2.120884,0.298240,0.632532
unrelated,1.061283,2.290054,2.157817,0.353761,0.763351
unrelated,1.077662,2.317671,2.150648,0.269415,0.579418
unrelated,1.172945,2.485468,2.118998,0.293236,0.621367
unrelated,1.119160,2.395907,2.140808,0.279790,0.598977
unrelated,1.023760,2.222632,2.171048,0.341253,0.740877
unrelated,1.031150,2.237583,2.169988,0.257788,0.559396
unrelated,1.086039,2.340950,2.155493,0.271510,0.585238
unrelated,1.094044,2.356900,2.154301,0.273511,0.589225
unrelated,1.153051,2.463557,2.136555,0.576525,1.231778
unrelated,1.084025,2.337530,2.156344,0.361342,0.779177
unrelated,1.125874,2.416183,2.146051,0.281469,0.604046
unrelated,1.162045,2.481140,2.135149,0.290511,0.620285
unrelated,1.031709,2.238674,2.169870,0.257927,0.559668
unrelated,1.110363,2.381542,2.144833,0.370121,0.793847
unrelated,1.147105,2.448095,2.134150,0.286776,0.612024
unrelated,1.187848,2.521982,2.123152,0.296962,0.630495
unrelated,1.133625,2.418881,2.133757,0.283406,0.604720
unrelated,1.035126,2.243244,2.167122,0.345042,0.747748
unrelated,1.059452,2.289415,2.160943,0.264863,0.572354
unrelated,1.151800,2.456334,2.132606,0.287950,0.614084
unrelated,1.018100,2.209398,2.170119,0.254525,0.552349
unrelated,1.225191,2.592149,2.115710,0.612595,1.296074
unrelated,1.183849,2.516990,2.126107,0.394616,0.838997
unrelated,1.189405,2.529051,2.126316,0.297351,0.632263
unrelated,1.092878,2.352605,2.152669,0.273220,0.588151
unrelated,1.222414,2.585310,2.114921,0.305604,0.646327
unrelated,1.155507,2.469611,2.137253,0.385169,0.823204
unrelated,1.146482,2.455956,2.142167,0.286621,0.613989
unrelated,1.188731,2.530344,2.128610,0.297183,0.632586
unrelated,1.169756,2.493557,2.131690,0.292439,0.623389
unrelated,1.181231,2.514512,2.128721,0.393744,0.838171
unrelated,1.144366,2.450885,2.141696,0.286092,0.612721
unrelated,1.254317,2.636633,2.102047,0.313579,0.659158
unrelated,1.194543,2.537846,2.124533,0.298636,0.634462
unrelated,1.236733,2.614541,2.114070,1.236733,2.614541
unrelated,1.067659,2.309283,2.162942,0.533829,1.154642
unrelated,0.976047,2.129112,2.181363,0.325349,0.709704
unrelated,0.972549,2.122072,2.181969,0.243137,0.530518
unrelated,1.062923,2.300237,2.164066,0.265731,0.575059
unrelated,0.972077,2.121251,2.182184,0.243019,0.530313
unrelated,1.033389,2.242471,2.170016,0.344463,0.747490
unrelated,1.046661,2.268122,2.167007,0.261665,0.567030
unrelated,0.947983,2.072508,2.186230,0.236996,0.518127
unrelated,1.001952,2.180647,2.176399,0.250488,0.545162
unrelated,1.070134,2.313505,2.161884,0.356711,0.771168
